           U       eps         D  N_bath       e_1       e_2       e_3       V_1       V_2       V_3
0   4.689280 -0.334897  4.079826       3 -3.634103 -2.456049  4.525549  0.797726  0.969459  1.010485
1   1.130181 -0.294736  2.945224       3 -2.370717  1.016240  3.519731  0.921902  0.797728  0.623471
2   4.969202  0.637814  2.262686       3 -2.496057  1.337127  2.029314  0.749739  0.740365  0.574649
3   7.684422  0.876098  3.837608       3 -3.932774  1.489993  3.742442  0.951034  0.988552  0.749263
4   7.856413 -0.654073  5.759460       3 -6.212117  4.465216  5.306804  1.260244  1.175719  0.834300
5   7.826095  0.326362  5.070180       3 -4.181670  1.314988  5.958691  1.169907  1.073799  0.840268
6   6.372636  0.876632  3.824040       3 -4.083235 -2.341696  3.564846  0.799049  0.801601  1.073972
7   5.050669 -0.674389  6.468357       3 -7.485028  2.709101  5.451685  1.178954  1.276406  1.048207
8   1.442265 -0.847545  6.172855       3 -6.617499  0.914258  5.728212  1.148590  1.136999  1.147927
9   2.458470 -0.361617  2.379704       3 -1.663149 -1.241582  3.096259  0.769951  0.656441  0.700877
10  5.109092  0.919535  4.357284       3 -3.634282 -1.565645  5.080286  0.966586  0.946231  0.971747
11  5.687835  0.886084  2.400514       3 -1.954104 -0.457064  2.846925  0.606297  0.884676  0.614790
12  3.492665  0.441884  3.893300       3 -4.727037  0.362731  3.059563  0.891821  0.717994  1.080598
13  5.987191  0.400380  6.890175       3 -5.146385 -1.492410  8.633966  1.405789  1.024993  1.166005
14  5.607677 -0.976301  4.215259       3 -4.614492 -0.291369  3.816026  0.864790  0.978852  0.988688
15  1.146422  0.582640  2.247036       3 -1.747610 -1.049065  2.746463  0.784445  0.553640  0.713188
16  4.599349 -0.867313  5.052854       3 -5.919109 -2.780875  4.186598  0.889240  0.886544  1.280640
17  5.983542 -0.012044  6.158245       3 -6.196787 -1.925373  6.119703  1.192254  0.897789  1.301140
18  3.517267  0.059358  7.061490       3 -6.575502 -1.390637  7.547477  1.241458  1.166532  1.262326
19  4.525002  0.304708  3.199173       3 -1.855424 -1.237535  4.542921  0.826827  0.918646  0.713515
20  3.857912  0.491190  4.304024       3 -3.282179  1.726799  5.325868  1.189954  0.817300  0.809973
21  1.046276  0.846189  6.184467       3 -4.464127  0.937956  7.904807  1.278515  1.251061  0.858721
22  4.551028 -0.565051  4.485854       3 -4.040356 -1.343478  4.931352  0.933251  0.999527  0.992860
23  7.851520  0.002937  5.331841       3 -7.325758  2.665831  3.337925  0.997928  1.028219  1.158128
24  2.760985 -0.387711  2.366306       3 -3.461624  0.887087  1.270988  0.581153  0.907659  0.587243
25  4.397719  0.223683  6.150357       3 -6.787591  2.666132  5.513124  1.173406  1.277964  0.951508
26  6.082348 -0.636923  7.049401       3 -6.110265  2.001938  7.988538  1.418432  1.118150  1.107060
27  4.525319 -0.995183  6.119453       3 -4.345849 -3.778549  7.893058  1.103232  1.165451  1.149072
28  5.993233  0.345515  6.169363       3 -5.499889  1.248625  6.838837  1.222135  1.228041  0.962206
29  7.459363 -0.691426  2.198714       3 -1.824384 -0.884310  2.573045  0.720612  0.617451  0.706553
30  5.241401 -0.080846  6.611571       3 -9.145776  4.069812  4.077366  1.138838  1.264951  1.145427
31  6.008928 -0.649182  6.224964       3 -5.204535  1.212257  7.245393  1.263642  1.209999  0.949762
32  1.223874 -0.561762  5.858719       3 -4.019327 -1.529489  7.698111  1.208080  1.121742  1.005989
33  1.505861 -0.335618  4.785996       3 -2.159422 -1.001827  7.412569  1.167034  1.065251  0.741709
34  1.296026 -0.657658  2.372059       3 -2.570235  0.457765  2.173883  0.711266  0.717201  0.699874
35  1.882003  0.205381  2.757361       3 -2.796705  1.530335  2.718016  0.878936  0.655869  0.743436
36  2.316730  0.042072  5.460175       3 -6.664301  1.490267  4.256049  1.028594  1.082418  1.116432
37  1.895833  0.119348  3.030653       3 -3.161526 -1.825533  2.899779  0.740539  0.693218  0.948907
38  4.234569 -0.139291  7.079484       3 -6.735100  3.322316  7.423867  1.436481  1.017000  1.187086
39  7.002876  0.446444  3.174327       3 -1.306051 -0.700657  5.042604  0.918150  0.917848  0.579133
40  7.858824  0.332616  6.035917       3 -5.186721 -1.683424  6.885113  1.158338  1.094221  1.141717
41  7.753398 -0.040387  5.378099       3 -6.618213  2.882649  4.137984  1.101057  0.947766  1.145956
42  3.394633 -0.626798  2.986331       3 -3.193327  0.384213  2.779334  0.795899  0.791515  0.800753
43  3.871314 -0.398133  2.060699       3 -2.167820  0.763250  1.953579  0.733235  0.539972  0.694751
44  7.605007 -0.365432  4.427354       3 -4.099620  0.042787  4.755088  1.060887  0.853981  0.981721
45  4.507060  0.570409  5.127547       3 -3.282517 -2.093344  6.972578  1.080948  1.090344  0.952365
46  3.738390 -0.338385  2.384212       3 -2.922421  1.047843  1.846003  0.714338  0.679662  0.738659
47  3.320859 -0.329415  7.119626       3 -7.934698  1.740891  6.304553  1.268592  1.113634  1.297300
48  3.715207  0.550926  6.694953       3 -5.303883 -1.914022  8.086024  1.288499  1.106046  1.174126
49  7.354659 -0.226830  4.083984       3 -3.504369 -0.802842  4.663598  1.066064  0.721075  0.971341
50  2.730463 -0.389407  3.684731       3 -4.357553 -1.347898  3.011910  0.701289  0.888388  1.031859
51  1.411565  0.173459  7.190564       3 -4.723972 -2.831149  9.657157  1.372210  1.171122  1.150291
52  1.650472  0.759773  4.249827       3 -2.507789 -1.700043  5.991865  0.847228  1.146466  0.820576
53  1.910914  0.857205  2.517673       3 -2.688787  1.339616  2.346559  0.799333  0.734891  0.651001
