              U       eps         D  N_bath        e_1       e_2        e_3       V_1       V_2       V_3
0      6.762908 -0.002538  5.211224       3  -5.612096  0.945805   4.810353  1.136541  0.803618  1.174751
1      3.129201  0.470058  3.996373       3  -2.981980 -0.803245   5.010767  0.891326  1.049046  0.805736
2      5.071352 -0.476322  2.880328       3  -2.129612 -1.064120   3.631043  0.713411  0.890860  0.728757
3      4.961637  0.013789  2.471113       3  -2.729590  0.781959   2.212637  0.779350  0.578617  0.794340
4      2.352200  0.194978  7.858192       3  -8.749932  1.091670   6.966451  1.294867  1.202826  1.370843
5      7.721101  0.954172  4.956995       3  -4.160791  0.040641   5.753200  1.146160  0.947793  0.971456
6      2.221144  0.325560  2.801206       3  -3.453955 -0.887470   2.148457  0.669440  0.659547  0.948764
7      1.777504  0.722113  2.305642       3  -1.847586 -0.447517   2.763698  0.716956  0.724655  0.654727
8      4.494785  0.543386  6.153489       3  -5.614613 -0.521552   6.692365  1.156934  1.162208  1.108246
9      3.929087 -0.931668  2.135798       3  -2.118910  0.148509   2.152685  0.711905  0.616650  0.687477
10     5.647509 -0.236588  5.699396       3  -7.944964  0.164224   3.453828  0.859465  1.117983  1.280539
11     3.954479 -0.177268  4.763073       3  -3.469275 -0.595587   6.056870  1.065871  1.064872  0.873059
12     1.393450  0.895772  2.966438       3  -3.562870 -0.077803   2.370007  0.666538  0.866985  0.832201
13     7.053163 -0.935914  3.990641       3  -2.387411 -0.900816   5.593872  0.990797  0.990844  0.759652
14     1.629866 -0.658422  5.405330       3  -5.424961 -2.025819   5.385699  0.941999  1.098284  1.160841
15     2.971454 -0.885998  5.942522       3  -3.166124 -1.397931   8.718920  1.297639  1.132348  0.903907
16     2.213523 -0.450660  4.897581       3  -5.335234  3.398610   4.459928  1.159826  0.828889  1.041943
17     1.420807 -0.820052  5.495525       3  -6.740027  1.814412   4.251023  1.063572  1.000602  1.168833
18     7.948819  0.817943  4.974222       3  -6.346829  1.493905   3.601615  0.948062  1.081071  1.048405
19     5.485394 -0.773841  4.529126       3  -2.469201 -0.942139   6.589052  1.163165  0.946227  0.796889
20     4.178182  0.647554  4.824453       3  -5.373774  2.363028   4.275132  1.106586  0.829287  1.076611
21     4.938517  0.084141  7.223946       3  -2.842776 -2.400826  11.605116  1.340287  1.399119  0.919241
22     1.941999 -0.873292  3.786213       3  -3.565276 -1.425480   4.007151  0.782450  0.961531  0.934670
23     2.120438 -0.842121  5.593395       3  -2.586123 -0.856330   8.600666  1.302186  1.110216  0.795360
24     7.615814 -0.716627  6.596627       3  -9.095683  1.771646   4.097571  1.025570  1.196773  1.309765
25     2.875957 -0.895163  6.121187       3  -5.258644 -2.033814   6.983730  1.235385  0.972629  1.193602
26     3.398739  0.310854  7.801910       3  -4.701754 -2.612270  10.902067  1.413112  1.304281  1.126418
27     1.444322 -0.840780  2.970252       3  -2.701106 -0.118911   3.239398  0.857508  0.723368  0.795198
28     2.985992 -0.428807  2.582150       3  -2.754114 -0.582056   2.410185  0.686862  0.714031  0.813774
29     3.020003  0.456687  6.492143       3  -3.068478 -2.062791   9.915809  1.145752  1.413624  0.906613
30     7.196825 -0.134549  5.634438       3  -7.045381  0.568931   4.223494  1.020124  0.967752  1.268778
31     1.983992 -0.313388  3.874637       3  -4.216395  0.571701   3.532878  0.842486  1.041838  0.819427
32     3.236505 -0.643705  5.529890       3  -4.856407 -0.899068   6.203374  1.149177  1.009146  1.086947
33     7.679651  0.674432  3.814742       3  -3.584124 -1.103738   4.045359  0.949559  0.756283  0.977197
34     5.712510 -0.973285  2.191180       3  -1.752961 -0.947358   2.629398  0.707898  0.641473  0.694508
35     1.252895  0.691480  7.738286       3  -5.815994 -2.307734   9.660578  1.492950  1.046035  1.266197
36     5.172034 -0.453464  3.437102       3  -3.879917  2.298940   2.994288  0.942885  0.795921  0.815847
37     1.852197  0.407028  2.832414       3  -2.606897  1.341593   3.057931  0.869705  0.846263  0.574999
38     7.158950  0.420268  2.360584       3  -3.110627  0.166195   1.610541  0.596332  0.716461  0.796157
39     7.392681  0.203801  5.722398       3  -7.676793  1.938796   3.768003  0.961752  1.310343  1.000512
40     7.230402 -0.677455  2.220288       3  -1.674439 -1.366334   2.766137  0.652198  0.699328  0.706440
41     2.476765 -0.159369  2.454617       3  -2.673742  1.613873   2.235493  0.792285  0.813828  0.522136
42     5.194823  0.463844  4.175955       3  -3.514351  1.571956   4.837559  1.049576  1.058677  0.660369
43     2.157707  0.030245  7.765884       3  -7.822539 -3.677105   7.709229  1.309908  1.003381  1.490397
44     2.642153  0.227885  7.490881       3  -5.508473  1.485060   9.473289  1.399614  1.407652  0.910186
45     5.399125  0.876852  3.445823       3  -2.798738 -0.509529   4.092908  0.805574  0.989490  0.752091
46     4.992821  0.636761  4.351552       3  -4.104203  0.196850   4.598901  0.913759  1.115083  0.831816
47     4.444567 -0.740527  2.349780       3  -2.534457  0.126925   2.165104  0.717436  0.634242  0.760881
48     6.584513 -0.138784  7.208785       3 -10.465325  3.048557   3.952244  1.072119  1.316285  1.306602
49     2.462084  0.557630  5.436735       3  -4.510173 -2.504350   6.363297  1.158217  0.915838  1.131772
