           U       eps         D  N_bath       e_1       e_2       e_3       V_1       V_2       V_3
0   1.880441 -0.805411  2.252846       3 -2.035498  1.230676  2.470195  0.817144  0.656491  0.579225
1   7.369813 -0.533004  7.644377       3 -5.701485  0.496773  9.587269  1.522757  1.110260  1.146776
2   4.891747  0.748589  6.039892       3 -3.671057 -1.239781  8.408728  1.198986  1.245483  0.925376
3   6.394469 -0.068384  5.936586       3 -6.241513  2.130365  5.631658  1.180499  1.163253  1.016175
4   1.953832  0.658931  7.503250       3 -7.699897 -6.870486  7.306602  1.191130  0.979813  1.548513
5   7.934956 -0.553405  4.202032       3 -4.460690 -3.725322  3.943374  0.814710  0.805095  1.167547
6   2.997066 -0.986907  7.495969       3 -6.341675  0.699884  8.650264  1.496630  0.984082  1.250505
7   3.153716  0.835175  4.594916       3 -5.475771 -1.519428  3.714061  0.921070  0.765659  1.220906
8   7.179117 -0.028317  7.382903       3 -7.131926 -4.730519  7.633879  1.167511  1.128744  1.436300
9   4.510865 -0.345655  7.347513       3 -6.183894 -4.191231  8.511133  1.282694  1.109400  1.342200
10  7.959119 -0.661303  7.607714       3 -8.750875  2.214261  6.464554  1.264335  1.282117  1.265248
11  5.275212 -0.225905  3.786296       3 -4.048057  1.087291  3.524536  0.961457  0.783341  0.934028
12  7.566351 -0.450368  5.344607       3 -5.006982  2.868729  5.682231  1.274174  0.838800  1.037004
13  6.721459  0.657090  7.105782       3 -7.509940 -4.606576  6.701625  1.096529  1.081574  1.466800
14  1.020653 -0.597843  7.732211       3 -6.680368 -5.906868  8.784054  1.277597  1.106830  1.437063
15  1.716722  0.608834  6.859435       3 -6.042837  3.963916  7.676033  1.470298  1.020118  1.079090
16  2.397452 -0.075299  7.574706       3 -8.111555 -0.283885  7.037856  1.201200  1.284433  1.315126
17  4.758367 -0.808872  6.905839       3 -9.175537  2.523302  4.636142  1.127578  1.155637  1.337709
18  5.344418  0.135009  2.546002       3 -2.305029  0.484927  2.786974  0.798481  0.742960  0.656714
19  3.816901 -0.701556  6.894971       3 -5.274712 -2.731342  8.515230  1.169142  1.283525  1.172666
