           U       eps         D  N_bath       e_1       e_2       e_3       V_1       V_2       V_3
0   2.421669  0.037697  5.821808       3 -5.165222  0.704693  6.478394  1.210029  1.098133  1.017944
1   2.267055 -0.631753  6.830658       3 -3.813784 -1.550185  9.847531  1.384675  1.207886  0.986012
2   1.712126 -0.603535  7.811437       3 -9.386423  5.098147  6.236450  1.355645  1.422090  1.054895
3   4.084960  0.085230  2.043697       3 -1.956657  0.688074  2.130737  0.686361  0.766084  0.493033
4   5.677915  0.953000  2.769238       3 -1.927213 -1.080728  3.611263  0.866072  0.686643  0.735793
5   4.953904 -0.490594  5.908869       3 -6.051425  5.214408  5.766312  1.333368  1.110604  0.866251
6   5.191463  0.333476  6.083781       3 -5.822896 -3.730098  6.344666  0.906597  1.202679  1.266768
7   2.801976 -0.739350  7.037447       3 -6.904407 -0.238972  7.170487  1.238716  1.192026  1.234842
8   7.478753  0.117119  4.196047       3 -3.776792 -0.027453  4.615302  0.993760  0.932959  0.901840
9   4.727125  0.275730  4.389915       3 -2.955158 -2.920981  5.824673  0.974731  0.952619  0.968051
10  2.133767 -0.933259  2.311715       3 -2.095650 -0.474704  2.527779  0.652964  0.763192  0.680337
11  7.389208 -0.867719  4.878383       3 -4.664819  1.488775  5.091947  1.135850  0.946244  0.959241
12  7.212064 -0.919985  3.097839       3 -3.461365 -0.702364  2.734313  0.634834  0.917897  0.852407
13  2.375571  0.489191  3.507270       3 -3.419326  1.412602  3.595214  0.974399  0.791516  0.810460
14  4.249435 -0.580364  6.930463       3 -9.347527  0.629858  4.513399  1.006681  1.229085  1.374050
15  6.616799  0.521510  3.086468       3 -2.881609 -0.712863  3.291328  0.853887  0.700761  0.862970
16  4.599524 -0.883144  3.061998       3 -2.433516 -1.539204  3.690479  0.802281  0.788592  0.826920
17  7.411297  0.910377  5.265983       3 -4.427194 -2.873717  6.104771  1.011900  1.038423  1.118108
18  7.346138 -0.489168  2.201913       3 -1.675063  0.596763  2.728763  0.772718  0.748869  0.493845
19  7.312250 -0.842297  3.959061       3 -4.022949 -2.258060  3.895174  0.863276  0.797808  1.067087
